                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.4931,                0.94093,                 1.0986,                0.79809,                 0.1318,                0.16242,                  0.094,                 1.5855,                 1.5336,                 1.1315,             0.00082067,             0.00082067,             0.00082067
                     45,                  1.442,                0.93347,                 1.0929,                0.80785,                0.12797,                0.16515,                0.10015,                 1.5376,                 1.5213,                 1.1075,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.4294,                0.90172,                 1.0785,                 0.4997,                0.11211,                0.15811,                0.09857,                 1.4833,                 1.4889,                 1.0752,             0.00079238,             0.00079238,             0.00079238
                     47,                  1.423,                0.89852,                  1.077,                0.71084,                0.19791,                0.24021,                0.13274,                 1.4629,                 1.4592,                 1.0656,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.3758,                0.88784,                 1.0808,                0.46733,                0.13121,                0.16334,                0.10247,                 1.4828,                 1.3867,                 1.0678,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.4199,                0.88197,                 1.0729,                0.46003,                 0.1318,                0.16118,                0.09744,                 1.4938,                  1.357,                  1.079,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.3693,                0.87879,                 1.0593,                0.46234,                0.12737,                0.15804,                0.09855,                 1.5098,                 1.3309,                 1.0906,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.4164,                0.88535,                 1.0728,                0.67061,                0.29146,                0.31389,                0.17518,                 1.4969,                 1.2715,                 1.0805,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.3721,                0.86424,                 1.0564,                 0.8094,                0.15815,                0.18282,                0.10629,                 1.5228,                 1.3032,                 1.0777,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.4419,                0.87098,                 1.0833,                0.65537,                0.15744,                0.17323,                0.10994,                 1.4768,                 1.3403,                 1.0635,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.4189,                0.86764,                 1.0675,                0.65276,                0.16643,                0.16823,                0.10233,                   1.48,                 1.3974,                  1.078,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.4049,                0.87531,                 1.0668,                 0.6901,                0.15765,                 0.1791,                0.09753,                 1.5228,                 1.4182,                 1.0919,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.3927,                0.89075,                 1.0913,                0.56478,                 0.1293,                0.15513,                0.08829,                 1.5433,                 1.4437,                 1.1128,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.3909,                0.85273,                 1.0511,                0.54246,                0.12559,                0.15342,                0.08321,                 1.5677,                 1.3897,                 1.1282,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.3825,                0.84683,                 1.0823,                0.79909,                0.15609,                0.17802,                0.09581,                 1.5303,                 1.3072,                 1.1143,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.4414,                0.86598,                 1.0638,                0.61948,                0.14462,                0.17142,                0.10056,                 1.5298,                 1.2982,                 1.1108,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.3222,                0.81647,                 1.0339,                0.79472,                0.20122,                0.24765,                0.14361,                 1.5146,                 1.2877,                  1.106,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.3856,                0.84776,                  1.054,                0.80463,                0.13563,                0.17437,                0.11181,                 1.4923,                 1.2709,                 1.1009,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.3703,                0.82758,                 1.0569,                0.71806,                0.20648,                0.23954,                0.13855,                 1.5242,                 1.2968,                  1.102,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.3667,                0.81816,                 1.0506,                0.74427,                0.06411,                0.11449,                0.07235,                 1.5409,                 1.2963,                 1.1122,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.3087,                0.79546,                 1.0459,                0.79122,                0.13563,                 0.1715,                0.10965,                 1.4819,                 1.2417,                 1.0994,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.3741,                0.82991,                 1.0447,                0.74114,                0.15163,                0.17241,                0.10848,                  1.484,                 1.2048,                 1.1021,             0.00052359,             0.00052359,             0.00052359
                     66,                  1.318,                0.79321,                 1.0398,                0.62316,                0.15099,                0.17271,                0.10279,                 1.5822,                 1.1488,                 1.1268,             0.00050944,             0.00050944,             0.00050944
                     67,                 1.3355,                0.79297,                  1.024,                0.60511,                0.14845,                0.17787,                0.10436,                  1.574,                 1.1106,                 1.1231,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.3921,                0.82188,                 1.0502,                0.55558,                0.09443,                0.12894,                0.07764,                 1.5602,                  1.071,                 1.1208,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.3477,                0.80521,                 1.0283,                0.67984,                0.15757,                0.19062,                0.11247,                 1.5813,                 1.0815,                 1.1326,               0.000467,               0.000467,               0.000467
                     70,                 1.3519,                0.81606,                 1.0551,                0.71271,                0.16948,                 0.1913,                0.11405,                 1.6522,                 1.1272,                 1.1638,             0.00045285,             0.00045285,             0.00045285
                     71,                 1.3359,                0.80084,                 1.0461,                0.65062,                0.16127,                0.18835,                0.11378,                 1.6258,                 1.1255,                 1.1548,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.3207,                0.80584,                 1.0482,                 0.7644,                0.15744,                0.18488,                0.11346,                 1.6031,                 1.1265,                 1.1531,             0.00042456,             0.00042456,             0.00042456
                     73,                 1.3066,                0.79199,                 1.0387,                0.64697,                0.16093,                0.18552,                0.11382,                 1.5884,                 1.1057,                 1.1455,             0.00041041,             0.00041041,             0.00041041
                     74,                 1.2952,                0.79834,                  1.044,                0.65543,                0.17409,                0.19449,                0.11854,                 1.5197,                 1.0599,                 1.1109,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.2286,                0.76568,                 1.0297,                0.83591,                0.21825,                0.26185,                0.14212,                 1.5095,                 1.0569,                 1.1099,             0.00038211,             0.00038211,             0.00038211
                     76,                 1.2371,                0.77202,                 1.0461,                0.67848,                0.23487,                0.26193,                0.14259,                 1.4706,                 1.0311,                  1.104,             0.00036797,             0.00036797,             0.00036797
                     77,                 1.2678,                0.77119,                 1.0118,                0.51062,                0.08975,                0.12709,                 0.0761,                 1.4579,                 1.0302,                 1.1007,             0.00035382,             0.00035382,             0.00035382
                     78,                 1.2739,                 0.7737,                 1.0196,                0.50186,                0.08316,                 0.1248,                0.07469,                 1.4876,                 1.0363,                 1.1126,             0.00033967,             0.00033967,             0.00033967
                     79,                 1.2831,                0.76849,                 1.0104,                 0.4909,                0.07693,                0.12367,                0.07501,                 1.4975,                 1.0391,                  1.112,             0.00032553,             0.00032553,             0.00032553
                     80,                 1.2729,                0.78053,                 1.0033,                 0.5219,                0.07693,                0.11793,                0.07482,                 1.4826,                 1.0418,                 1.1009,             0.00031138,             0.00031138,             0.00031138
                     81,                 1.2554,                0.75148,                 1.0089,                0.54475,                0.07693,                0.11643,                0.07485,                 1.4515,                 1.0367,                 1.0935,             0.00029723,             0.00029723,             0.00029723
