                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.2674,                0.83492,                 1.1077,                0.65011,                0.27692,                0.49229,                0.29917,                  1.462,                0.99317,                 1.1871,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.3408,                0.87587,                  1.158,                0.61664,                0.46583,                 0.5641,                0.33578,                 1.4387,                 1.0026,                 1.1825,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.3382,                0.84549,                 1.1128,                 0.8141,                0.17409,                0.50461,                0.32309,                 1.4474,                 1.0487,                 1.1887,              0.0006792,              0.0006792,              0.0006792
                     55,                  1.308,                0.85066,                 1.1254,                0.80556,                0.17409,                0.50258,                0.31678,                 1.4964,                 1.0895,                 1.2105,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.2904,                0.85717,                 1.1398,                0.71057,                0.15744,                0.44284,                0.30666,                 1.4857,                 1.1038,                 1.2072,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.2699,                0.83205,                 1.0888,                0.62119,                0.08975,                0.35998,                0.23642,                 1.5047,                 1.0611,                 1.2232,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.3064,                0.83654,                 1.1299,                0.84829,                0.24302,                0.48979,                0.29837,                 1.5612,                 1.0425,                 1.2503,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.3363,                 0.8379,                 1.0978,                0.75423,                0.08975,                  0.369,                0.23597,                 1.5525,                 1.0443,                 1.2498,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.2439,                0.79095,                 1.0719,                 0.7552,                0.08975,                0.40142,                0.28806,                 1.4851,                0.99737,                 1.2243,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.2955,                0.83968,                 1.1004,                0.69861,                0.10257,                0.40994,                0.25757,                 1.4336,                0.96882,                 1.1983,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.2593,                 0.8023,                 1.0921,                0.72335,                0.25644,                0.50727,                0.32125,                 1.4282,                0.96906,                 1.1772,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.2647,                0.79164,                  1.088,                0.78081,                0.08975,                  0.413,                0.30049,                 1.4217,                0.97479,                 1.1781,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.2461,                 0.7909,                 1.1026,                0.75556,                0.10257,                0.43455,                0.27858,                 1.4108,                0.97594,                 1.1756,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.3005,                0.84262,                 1.0972,                0.75475,                0.10257,                0.37681,                0.24396,                 1.3952,                0.94481,                 1.1712,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.2025,                0.76841,                 1.0733,                0.71897,                0.18942,                0.41795,                0.27073,                  1.407,                0.90409,                  1.169,             0.00050944,             0.00050944,             0.00050944
                     67,                  1.217,                0.78028,                 1.0468,                0.76934,                0.18942,                0.41377,                0.25794,                 1.4396,                0.90796,                 1.1865,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.2977,                0.81621,                 1.1021,                0.84269,                0.10257,                0.39883,                 0.2495,                 1.4938,                0.94797,                  1.206,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.2873,                0.80103,                  1.084,                0.79414,                0.10257,                0.39822,                0.24804,                 1.5058,                0.96902,                 1.2169,               0.000467,               0.000467,               0.000467
                     70,                 1.2662,                0.81327,                 1.0953,                0.81713,                0.10257,                0.46295,                0.30409,                 1.4097,                 1.0009,                 1.1837,             0.00045285,             0.00045285,             0.00045285
                     71,                 1.2976,                0.80337,                 1.0975,                0.73668,                0.18559,                0.46653,                0.31458,                 1.3958,                 1.0216,                 1.1821,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.2371,                0.79848,                 1.0925,                0.77605,                0.70551,                 0.7753,                0.46606,                 1.4517,                 1.0325,                 1.2059,             0.00042456,             0.00042456,             0.00042456
                     73,                 1.2173,                0.77509,                 1.0745,                0.85871,                 0.2616,                0.51522,                0.31412,                 1.4859,                0.99486,                 1.2145,             0.00041041,             0.00041041,             0.00041041
                     74,                 1.2196,                0.77437,                 1.0803,                0.81246,                0.26856,                0.48698,                0.30201,                 1.4564,                0.91414,                 1.1989,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.1917,                0.77194,                 1.0726,                0.86912,                0.10257,                0.37735,                 0.2453,                 1.4124,                0.88574,                 1.1809,             0.00038211,             0.00038211,             0.00038211
                     76,                 1.1695,                 0.7687,                 1.0917,                0.78667,                0.18533,                0.46229,                0.29424,                 1.3939,                0.88896,                  1.172,             0.00036797,             0.00036797,             0.00036797
                     77,                 1.1774,                0.74607,                 1.0517,                0.80618,                0.26303,                0.49332,                0.31075,                 1.4121,                0.90159,                 1.1812,             0.00035382,             0.00035382,             0.00035382
                     78,                 1.1902,                0.75013,                 1.0586,                0.78535,                0.25261,                0.45895,                0.29642,                 1.4941,                0.92021,                   1.22,             0.00033967,             0.00033967,             0.00033967
